County,Tabulator,Batch #,# of ballots,Location
Adams,109,137,99,Box 109-10
Adams,109,138,100,Box 109-10
Adams,109,139,100,Box 109-10
Adams,109,140,100,Box 109-10
Adams,109,141,100,Box 109-10
Adams,109,142,100,Box 109-10
Adams,109,143,98,Box 109-10
Adams,109,144,103,Box 109-10
Adams,109,145,100,Box 109-10
Adams,109,146,100,Box 109-10
Adams,109,147,98,Box 109-10
Adams,109,148,100,Box 109-10
Adams,109,149,100,Box 109-10
Adams,109,150,100,Box 109-10
Adams,109,151,100,Box 109-11
Adams,109,152,100,Box 109-11
Adams,109,153,100,Box 109-11
Adams,109,154,100,Box 109-11
Adams,109,155,100,Box 109-11
Adams,109,156,100,Box 109-11
Adams,109,157,98,Box 109-11
Adams,109,158,100,Box 109-11
Adams,109,159,98,Box 109-11
Adams,109,160,99,Box 109-11
Adams,109,161,100,Box 109-11
Adams,109,162,100,Box 109-11
Adams,109,163,100,Box 109-11
Adams,109,164,100,Box 109-11
Adams,109,165,100,Box 109-11
Adams,109,166,98,Box 109-12
Adams,109,167,100,Box 109-12
Adams,109,168,93,Box 109-12
Adams,109,169,100,Box 109-12
Adams,109,170,100,Box 109-12
Adams,109,171,100,Box 109-12
Adams,109,172,100,Box 109-12
Adams,109,173,100,Box 109-12
Adams,109,174,99,Box 109-12
Adams,109,175,99,Box 109-12
Adams,109,176,100,Box 109-12
Adams,109,177,100,Box 109-12
Adams,109,178,100,Box 109-12
Adams,109,179,100,Box 109-12
Adams,109,180,98,Box 109-12
Adams,109,181,101,Box 109-13
Adams,109,182,100,Box 109-13
Adams,109,183,100,Box 109-13
Adams,109,184,100,Box 109-13
Adams,109,185,100,Box 109-13
Adams,109,186,99,Box 109-13
Adams,109,187,100,Box 109-13
Adams,109,188,100,Box 109-13
Adams,109,189,100,Box 109-13
Adams,109,190,99,Box 109-13
Adams,109,191,87,Box 109-13
Adams,109,192,99,Box 109-13
Adams,109,193,100,Box 109-13
Adams,109,194,100,Box 109-13
Adams,109,195,100,Box 109-13
Adams,110,1,99,Box 110-1
Adams,110,2,100,Box 110-1
Adams,110,3,100,Box 110-1
Adams,110,4,98,Box 110-1
Adams,110,5,114,Box 110-1
Adams,110,6,86,Box 110-1
Adams,110,7,100,Box 110-1
Adams,110,8,100,Box 110-1
Adams,110,9,100,Box 110-1
Adams,110,10,98,Box 110-1
Adams,110,11,100,Box 110-1
Adams,110,12,100,Box 110-1
Adams,110,13,100,Box 110-1
Adams,110,14,100,Box 110-1
Adams,110,15,100,Box 110-2
Adams,110,16,25,Box 110-2
Adams,110,17,100,Box 110-2
Adams,110,18,100,Box 110-2
Adams,110,19,100,Box 110-2
Adams,110,20,100,Box 110-2
Adams,110,21,100,Box 110-2
Adams,110,22,99,Box 110-2
Adams,110,23,99,Box 110-2
Adams,110,24,100,Box 110-2
Adams,110,25,98,Box 110-2
Adams,110,26,99,Box 110-2
Adams,110,27,100,Box 110-2
Adams,110,28,100,Box 110-2
Adams,110,29,100,Box 110-3
Adams,110,30,100,Box 110-3
Adams,110,31,100,Box 110-3
Adams,110,32,99,Box 110-3
Adams,110,33,100,Box 110-3
Adams,110,34,99,Box 110-3
Adams,110,35,100,Box 110-3
Adams,110,36,99,Box 110-3
Adams,110,37,100,Box 110-3
Adams,110,38,100,Box 110-3
Adams,110,39,100,Box 110-3
Adams,110,40,100,Box 110-3
Adams,110,41,98,Box 110-3
Adams,110,42,100,Box 110-3
Adams,110,43,100,Box 110-4
Adams,110,44,99,Box 110-4
Adams,110,45,100,Box 110-4
Adams,110,46,100,Box 110-4
Adams,110,47,99,Box 110-4
Adams,110,48,100,Box 110-4
Adams,110,49,100,Box 110-4
Adams,110,50,54,Box 110-4
Adams,110,51,100,Box 110-4
Adams,110,52,100,Box 110-4
